OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.304	urn:cts:greekLit:tlg0012.tlg001.msA:2.659
urn:cite:hmt:venAsign.305	urn:cts:greekLit:tlg0012.tlg001.msA:2.667
urn:cite:hmt:venAsign.306	urn:cts:greekLit:tlg0012.tlg001.msA:2.668
urn:cite:hmt:venAsign.307	urn:cts:greekLit:tlg0012.tlg001.msA:2.669
urn:cite:hmt:venAsign.308	urn:cts:greekLit:tlg0012.tlg001.msA:2.670
urn:cite:hmt:venAsign.309	urn:cts:greekLit:tlg0012.tlg001.msA:2.673
urn:cite:hmt:venAsign.310	urn:cts:greekLit:tlg0012.tlg001.msA:2.674
urn:cite:hmt:venAsign.311	urn:cts:greekLit:tlg0012.tlg001.msA:2.675
urn:cite:hmt:venAsign.312	urn:cts:greekLit:tlg0012.tlg001.msA:2.681
urn:cite:hmt:venAsign.313	urn:cts:greekLit:tlg0012.tlg001.msA:2.684
urn:cite:hmt:venAsign.314	urn:cts:greekLit:tlg0012.tlg001.msA:2.689
urn:cite:hmt:venAsign.315	urn:cts:greekLit:tlg0012.tlg001.msA:2.690
urn:cite:hmt:venAsign.316	urn:cts:greekLit:tlg0012.tlg001.msA:2.694
urn:cite:hmt:venAsign.317	urn:cts:greekLit:tlg0012.tlg001.msA:2.696
urn:cite:hmt:venAsign.318	urn:cts:greekLit:tlg0012.tlg001.msA:2.697
urn:cite:hmt:venAsign.319	urn:cts:greekLit:tlg0012.tlg001.msA:2.701
urn:cite:hmt:venAsign.320	urn:cts:greekLit:tlg0012.tlg001.msA:2.718
urn:cite:hmt:venAsign.321	urn:cts:greekLit:tlg0012.tlg001.msA:2.722
urn:cite:hmt:venAsign.322	urn:cts:greekLit:tlg0012.tlg001.msA:2.724
urn:cite:hmt:venAsign.323	urn:cts:greekLit:tlg0012.tlg001.msA:2.725
urn:cite:hmt:venAsign.324	urn:cts:greekLit:tlg0012.tlg001.msA:2.727
urn:cite:hmt:venAsign.325	urn:cts:greekLit:tlg0012.tlg001.msA:2.730
urn:cite:hmt:venAsign.326	urn:cts:greekLit:tlg0012.tlg001.msA:2.741
urn:cite:hmt:venAsign.327	urn:cts:greekLit:tlg0012.tlg001.msA:2.742
urn:cite:hmt:venAsign.328	urn:cts:greekLit:tlg0012.tlg001.msA:2.745
urn:cite:hmt:venAsign.329	urn:cts:greekLit:tlg0012.tlg001.msA:2.763
urn:cite:hmt:venAsign.330	urn:cts:greekLit:tlg0012.tlg001.msA:2.767
urn:cite:hmt:venAsign.331	urn:cts:greekLit:tlg0012.tlg001.msA:2.791
urn:cite:hmt:venAsign.332	urn:cts:greekLit:tlg0012.tlg001.msA:2.792
urn:cite:hmt:venAsign.333	urn:cts:greekLit:tlg0012.tlg001.msA:2.793
urn:cite:hmt:venAsign.334	urn:cts:greekLit:tlg0012.tlg001.msA:2.794
urn:cite:hmt:venAsign.335	urn:cts:greekLit:tlg0012.tlg001.msA:2.795
urn:cite:hmt:venAsign.336	urn:cts:greekLit:tlg0012.tlg001.msA:2.801
urn:cite:hmt:venAsign.337	urn:cts:greekLit:tlg0012.tlg001.msA:2.802
urn:cite:hmt:venAsign.338	urn:cts:greekLit:tlg0012.tlg001.msA:2.807
urn:cite:hmt:venAsign.339	urn:cts:greekLit:tlg0012.tlg001.msA:2.809
urn:cite:hmt:venAsign.340	urn:cts:greekLit:tlg0012.tlg001.msA:2.819
urn:cite:hmt:venAsign.341	urn:cts:greekLit:tlg0012.tlg001.msA:2.820
urn:cite:hmt:venAsign.342	urn:cts:greekLit:tlg0012.tlg001.msA:2.827
urn:cite:hmt:venAsign.343	urn:cts:greekLit:tlg0012.tlg001.msA:2.837
urn:cite:hmt:venAsign.344	urn:cts:greekLit:tlg0012.tlg001.msA:2.838
urn:cite:hmt:venAsign.345	urn:cts:greekLit:tlg0012.tlg001.msA:2.839
urn:cite:hmt:venAsign.346	urn:cts:greekLit:tlg0012.tlg001.msA:2.850
urn:cite:hmt:venAsign.347	urn:cts:greekLit:tlg0012.tlg001.msA:2.851
urn:cite:hmt:venAsign.348	urn:cts:greekLit:tlg0012.tlg001.msA:2.852
urn:cite:hmt:venAsign.349	urn:cts:greekLit:tlg0012.tlg001.msA:2.856
urn:cite:hmt:venAsign.350	urn:cts:greekLit:tlg0012.tlg001.msA:2.860
urn:cite:hmt:venAsign.351	urn:cts:greekLit:tlg0012.tlg001.msA:2.861
urn:cite:hmt:venAsign.352	urn:cts:greekLit:tlg0012.tlg001.msA:2.863
urn:cite:hmt:venAsign.353	urn:cts:greekLit:tlg0012.tlg001.msA:2.867
urn:cite:hmt:venAsign.354	urn:cts:greekLit:tlg0012.tlg001.msA:2.871
urn:cite:hmt:venAsign.355	urn:cts:greekLit:tlg0012.tlg001.msA:2.872
urn:cite:hmt:venAsign.356	urn:cts:greekLit:tlg0012.tlg001.msA:2.874
urn:cite:hmt:venAsign.357	urn:cts:greekLit:tlg0012.tlg001.msA:2.875
urn:cite:hmt:venAsign.358	urn:cts:greekLit:tlg0012.tlg001.msA:3.3
urn:cite:hmt:venAsign.359	urn:cts:greekLit:tlg0012.tlg001.msA:3.4
urn:cite:hmt:venAsign.360	urn:cts:greekLit:tlg0012.tlg001.msA:3.5
urn:cite:hmt:venAsign.361	urn:cts:greekLit:tlg0012.tlg001.msA:3.6
urn:cite:hmt:venAsign.362	urn:cts:greekLit:tlg0012.tlg001.msA:3.10
urn:cite:hmt:venAsign.363	urn:cts:greekLit:tlg0012.tlg001.msA:3.11
urn:cite:hmt:venAsign.364	urn:cts:greekLit:tlg0012.tlg001.msA:3.13
urn:cite:hmt:venAsign.365	urn:cts:greekLit:tlg0012.tlg001.msA:3.18
urn:cite:hmt:venAsign.366	urn:cts:greekLit:tlg0012.tlg001.msA:3.19
urn:cite:hmt:venAsign.367	urn:cts:greekLit:tlg0012.tlg001.msA:3.20
urn:cite:hmt:venAsign.368	urn:cts:greekLit:tlg0012.tlg001.msA:3.25
urn:cite:hmt:venAsign.369	urn:cts:greekLit:tlg0012.tlg001.msA:3.28
urn:cite:hmt:venAsign.370	urn:cts:greekLit:tlg0012.tlg001.msA:3.31
urn:cite:hmt:venAsign.371	urn:cts:greekLit:tlg0012.tlg001.msA:3.36
urn:cite:hmt:venAsign.372	urn:cts:greekLit:tlg0012.tlg001.msA:3.44
urn:cite:hmt:venAsign.373	urn:cts:greekLit:tlg0012.tlg001.msA:3.48
urn:cite:hmt:venAsign.374	urn:cts:greekLit:tlg0012.tlg001.msA:3.49
urn:cite:hmt:venAsign.375	urn:cts:greekLit:tlg0012.tlg001.msA:3.54
urn:cite:hmt:venAsign.376	urn:cts:greekLit:tlg0012.tlg001.msA:3.56
urn:cite:hmt:venAsign.377	urn:cts:greekLit:tlg0012.tlg001.msA:3.65
urn:cite:hmt:venAsign.378	urn:cts:greekLit:tlg0012.tlg001.msA:3.71
urn:cite:hmt:venAsign.379	urn:cts:greekLit:tlg0012.tlg001.msA:3.74
urn:cite:hmt:venAsign.380	urn:cts:greekLit:tlg0012.tlg001.msA:3.80
urn:cite:hmt:venAsign.381	urn:cts:greekLit:tlg0012.tlg001.msA:3.82
urn:cite:hmt:venAsign.382	urn:cts:greekLit:tlg0012.tlg001.msA:3.83
urn:cite:hmt:venAsign.383	urn:cts:greekLit:tlg0012.tlg001.msA:3.92
urn:cite:hmt:venAsign.384	urn:cts:greekLit:tlg0012.tlg001.msA:3.99
urn:cite:hmt:venAsign.385	urn:cts:greekLit:tlg0012.tlg001.msA:3.100
urn:cite:hmt:venAsign.386	urn:cts:greekLit:tlg0012.tlg001.msA:3.103
urn:cite:hmt:venAsign.387	urn:cts:greekLit:tlg0012.tlg001.msA:3.104
urn:cite:hmt:venAsign.388	urn:cts:greekLit:tlg0012.tlg001.msA:3.105
urn:cite:hmt:venAsign.389	urn:cts:greekLit:tlg0012.tlg001.msA:3.108
urn:cite:hmt:venAsign.390	urn:cts:greekLit:tlg0012.tlg001.msA:3.109
urn:cite:hmt:venAsign.391	urn:cts:greekLit:tlg0012.tlg001.msA:3.110
urn:cite:hmt:venAsign.392	urn:cts:greekLit:tlg0012.tlg001.msA:3.122
urn:cite:hmt:venAsign.393	urn:cts:greekLit:tlg0012.tlg001.msA:3.126
urn:cite:hmt:venAsign.394	urn:cts:greekLit:tlg0012.tlg001.msA:3.138
urn:cite:hmt:venAsign.395	urn:cts:greekLit:tlg0012.tlg001.msA:3.144
urn:cite:hmt:venAsign.396	urn:cts:greekLit:tlg0012.tlg001.msA:3.144
urn:cite:hmt:venAsign.397	urn:cts:greekLit:tlg0012.tlg001.msA:3.152
urn:cite:hmt:venAsign.398	urn:cts:greekLit:tlg0012.tlg001.msA:3.155
urn:cite:hmt:venAsign.399	urn:cts:greekLit:tlg0012.tlg001.msA:3.163
urn:cite:hmt:venAsign.400	urn:cts:greekLit:tlg0012.tlg001.msA:3.184
urn:cite:hmt:venAsign.401	urn:cts:greekLit:tlg0012.tlg001.msA:3.205
urn:cite:hmt:venAsign.402	urn:cts:greekLit:tlg0012.tlg001.msA:3.206
urn:cite:hmt:venAsign.403	urn:cts:greekLit:tlg0012.tlg001.msA:3.207
urn:cite:hmt:venAsign.404	urn:cts:greekLit:tlg0012.tlg001.msA:3.211
urn:cite:hmt:venAsign.405	urn:cts:greekLit:tlg0012.tlg001.msA:3.219
urn:cite:hmt:venAsign.406	urn:cts:greekLit:tlg0012.tlg001.msA:3.224
urn:cite:hmt:venAsign.407	urn:cts:greekLit:tlg0012.tlg001.msA:3.230
urn:cite:hmt:venAsign.408	urn:cts:greekLit:tlg0012.tlg001.msA:3.244
urn:cite:hmt:venAsign.409	urn:cts:greekLit:tlg0012.tlg001.msA:3.250
urn:cite:hmt:venAsign.410	urn:cts:greekLit:tlg0012.tlg001.msA:3.257
urn:cite:hmt:venAsign.411	urn:cts:greekLit:tlg0012.tlg001.msA:3.261
urn:cite:hmt:venAsign.412	urn:cts:greekLit:tlg0012.tlg001.msA:3.263
urn:cite:hmt:venAsign.413	urn:cts:greekLit:tlg0012.tlg001.msA:3.270
urn:cite:hmt:venAsign.414	urn:cts:greekLit:tlg0012.tlg001.msA:3.271
urn:cite:hmt:venAsign.415	urn:cts:greekLit:tlg0012.tlg001.msA:3.273
urn:cite:hmt:venAsign.416	urn:cts:greekLit:tlg0012.tlg001.msA:3.276
urn:cite:hmt:venAsign.417	urn:cts:greekLit:tlg0012.tlg001.msA:3.277
urn:cite:hmt:venAsign.418	urn:cts:greekLit:tlg0012.tlg001.msA:3.278
urn:cite:hmt:venAsign.419	urn:cts:greekLit:tlg0012.tlg001.msA:3.279
urn:cite:hmt:venAsign.420	urn:cts:greekLit:tlg0012.tlg001.msA:3.280
urn:cite:hmt:venAsign.421	urn:cts:greekLit:tlg0012.tlg001.msA:3.286
urn:cite:hmt:venAsign.422	urn:cts:greekLit:tlg0012.tlg001.msA:3.297
urn:cite:hmt:venAsign.423	urn:cts:greekLit:tlg0012.tlg001.msA:3.305
urn:cite:hmt:venAsign.424	urn:cts:greekLit:tlg0012.tlg001.msA:3.325
urn:cite:hmt:venAsign.425	urn:cts:greekLit:tlg0012.tlg001.msA:3.333
urn:cite:hmt:venAsign.426	urn:cts:greekLit:tlg0012.tlg001.msA:3.334
urn:cite:hmt:venAsign.427	urn:cts:greekLit:tlg0012.tlg001.msA:3.335
urn:cite:hmt:venAsign.428	urn:cts:greekLit:tlg0012.tlg001.msA:3.339
urn:cite:hmt:venAsign.429	urn:cts:greekLit:tlg0012.tlg001.msA:3.352
urn:cite:hmt:venAsign.430	urn:cts:greekLit:tlg0012.tlg001.msA:3.354
urn:cite:hmt:venAsign.431	urn:cts:greekLit:tlg0012.tlg001.msA:3.361
urn:cite:hmt:venAsign.432	urn:cts:greekLit:tlg0012.tlg001.msA:3.364
urn:cite:hmt:venAsign.433	urn:cts:greekLit:tlg0012.tlg001.msA:3.368
urn:cite:hmt:venAsign.434	urn:cts:greekLit:tlg0012.tlg001.msA:3.380
urn:cite:hmt:venAsign.435	urn:cts:greekLit:tlg0012.tlg001.msA:3.391
urn:cite:hmt:venAsign.436	urn:cts:greekLit:tlg0012.tlg001.msA:3.392
urn:cite:hmt:venAsign.437	urn:cts:greekLit:tlg0012.tlg001.msA:3.395
urn:cite:hmt:venAsign.438	urn:cts:greekLit:tlg0012.tlg001.msA:3.396
urn:cite:hmt:venAsign.439	urn:cts:greekLit:tlg0012.tlg001.msA:3.397
urn:cite:hmt:venAsign.440	urn:cts:greekLit:tlg0012.tlg001.msA:3.398
urn:cite:hmt:venAsign.441	urn:cts:greekLit:tlg0012.tlg001.msA:3.399
urn:cite:hmt:venAsign.442	urn:cts:greekLit:tlg0012.tlg001.msA:3.400
urn:cite:hmt:venAsign.443	urn:cts:greekLit:tlg0012.tlg001.msA:3.401
urn:cite:hmt:venAsign.444	urn:cts:greekLit:tlg0012.tlg001.msA:3.402
urn:cite:hmt:venAsign.445	urn:cts:greekLit:tlg0012.tlg001.msA:3.403
urn:cite:hmt:venAsign.446	urn:cts:greekLit:tlg0012.tlg001.msA:3.404
urn:cite:hmt:venAsign.447	urn:cts:greekLit:tlg0012.tlg001.msA:3.405
urn:cite:hmt:venAsign.448	urn:cts:greekLit:tlg0012.tlg001.msA:3.406
urn:cite:hmt:venAsign.449	urn:cts:greekLit:tlg0012.tlg001.msA:3.407
urn:cite:hmt:venAsign.450	urn:cts:greekLit:tlg0012.tlg001.msA:3.408
urn:cite:hmt:venAsign.451	urn:cts:greekLit:tlg0012.tlg001.msA:3.409
urn:cite:hmt:venAsign.452	urn:cts:greekLit:tlg0012.tlg001.msA:3.410
urn:cite:hmt:venAsign.453	urn:cts:greekLit:tlg0012.tlg001.msA:3.411
urn:cite:hmt:venAsign.454	urn:cts:greekLit:tlg0012.tlg001.msA:3.412
urn:cite:hmt:venAsign.455	urn:cts:greekLit:tlg0012.tlg001.msA:3.413
urn:cite:hmt:venAsign.456	urn:cts:greekLit:tlg0012.tlg001.msA:3.414
urn:cite:hmt:venAsign.457	urn:cts:greekLit:tlg0012.tlg001.msA:3.415
urn:cite:hmt:venAsign.458	urn:cts:greekLit:tlg0012.tlg001.msA:3.416
urn:cite:hmt:venAsign.459	urn:cts:greekLit:tlg0012.tlg001.msA:3.417
urn:cite:hmt:venAsign.460	urn:cts:greekLit:tlg0012.tlg001.msA:3.418
urn:cite:hmt:venAsign.461	urn:cts:greekLit:tlg0012.tlg001.msA:3.423
urn:cite:hmt:venAsign.462	urn:cts:greekLit:tlg0012.tlg001.msA:3.424
urn:cite:hmt:venAsign.463	urn:cts:greekLit:tlg0012.tlg001.msA:3.425
urn:cite:hmt:venAsign.464	urn:cts:greekLit:tlg0012.tlg001.msA:3.426
urn:cite:hmt:venAsign.465	urn:cts:greekLit:tlg0012.tlg001.msA:3.432
urn:cite:hmt:venAsign.466	urn:cts:greekLit:tlg0012.tlg001.msA:3.433
urn:cite:hmt:venAsign.467	urn:cts:greekLit:tlg0012.tlg001.msA:3.434
urn:cite:hmt:venAsign.468	urn:cts:greekLit:tlg0012.tlg001.msA:3.435
urn:cite:hmt:venAsign.469	urn:cts:greekLit:tlg0012.tlg001.msA:3.436
urn:cite:hmt:venAsign.470	urn:cts:greekLit:tlg0012.tlg001.msA:3.445
urn:cite:hmt:venAsign.471	urn:cts:greekLit:tlg0012.tlg001.msA:3.459
urn:cite:hmt:venAsign.472	urn:cts:greekLit:tlg0012.tlg001.msA:3.460
urn:cite:hmt:venAsign.473	urn:cts:greekLit:tlg0012.tlg001.msA:4.2
urn:cite:hmt:venAsign.474	urn:cts:greekLit:tlg0012.tlg001.msA:4.3
urn:cite:hmt:venAsign.475	urn:cts:greekLit:tlg0012.tlg001.msA:4.4
urn:cite:hmt:venAsign.476	urn:cts:greekLit:tlg0012.tlg001.msA:4.21
urn:cite:hmt:venAsign.477	urn:cts:greekLit:tlg0012.tlg001.msA:4.22
urn:cite:hmt:venAsign.478	urn:cts:greekLit:tlg0012.tlg001.msA:4.45
urn:cite:hmt:venAsign.479	urn:cts:greekLit:tlg0012.tlg001.msA:4.46
urn:cite:hmt:venAsign.480	urn:cts:greekLit:tlg0012.tlg001.msA:4.52
urn:cite:hmt:venAsign.481	urn:cts:greekLit:tlg0012.tlg001.msA:4.55
urn:cite:hmt:venAsign.482	urn:cts:greekLit:tlg0012.tlg001.msA:4.56
urn:cite:hmt:venAsign.483	urn:cts:greekLit:tlg0012.tlg001.msA:4.59
urn:cite:hmt:venAsign.484	urn:cts:greekLit:tlg0012.tlg001.msA:4.60
urn:cite:hmt:venAsign.485	urn:cts:greekLit:tlg0012.tlg001.msA:4.64
urn:cite:hmt:venAsign.486	urn:cts:greekLit:tlg0012.tlg001.msA:4.71
urn:cite:hmt:venAsign.487	urn:cts:greekLit:tlg0012.tlg001.msA:4.74
urn:cite:hmt:venAsign.488	urn:cts:greekLit:tlg0012.tlg001.msA:4.88
urn:cite:hmt:venAsign.489	urn:cts:greekLit:tlg0012.tlg001.msA:4.89
urn:cite:hmt:venAsign.490	urn:cts:greekLit:tlg0012.tlg001.msA:4.100
urn:cite:hmt:venAsign.491	urn:cts:greekLit:tlg0012.tlg001.msA:4.101
urn:cite:hmt:venAsign.492	urn:cts:greekLit:tlg0012.tlg001.msA:4.102
urn:cite:hmt:venAsign.493	urn:cts:greekLit:tlg0012.tlg001.msA:4.108
urn:cite:hmt:venAsign.494	urn:cts:greekLit:tlg0012.tlg001.msA:4.117
urn:cite:hmt:venAsign.495	urn:cts:greekLit:tlg0012.tlg001.msA:4.123
urn:cite:hmt:venAsign.496	urn:cts:greekLit:tlg0012.tlg001.msA:4.133
urn:cite:hmt:venAsign.497	urn:cts:greekLit:tlg0012.tlg001.msA:4.135
urn:cite:hmt:venAsign.498	urn:cts:greekLit:tlg0012.tlg001.msA:4.138
urn:cite:hmt:venAsign.499	urn:cts:greekLit:tlg0012.tlg001.msA:4.139
urn:cite:hmt:venAsign.500	urn:cts:greekLit:tlg0012.tlg001.msA:4.140
urn:cite:hmt:venAsign.501	urn:cts:greekLit:tlg0012.tlg001.msA:4.141
urn:cite:hmt:venAsign.502	urn:cts:greekLit:tlg0012.tlg001.msA:4.154
urn:cite:hmt:venAsign.503	urn:cts:greekLit:tlg0012.tlg001.msA:4.157
urn:cite:hmt:venAsign.504	urn:cts:greekLit:tlg0012.tlg001.msA:4.159
urn:cite:hmt:venAsign.505	urn:cts:greekLit:tlg0012.tlg001.msA:4.161
urn:cite:hmt:venAsign.506	urn:cts:greekLit:tlg0012.tlg001.msA:4.164
urn:cite:hmt:venAsign.507	urn:cts:greekLit:tlg0012.tlg001.msA:4.167
urn:cite:hmt:venAsign.508	urn:cts:greekLit:tlg0012.tlg001.msA:4.171
urn:cite:hmt:venAsign.509	urn:cts:greekLit:tlg0012.tlg001.msA:4.174
urn:cite:hmt:venAsign.510	urn:cts:greekLit:tlg0012.tlg001.msA:4.176
urn:cite:hmt:venAsign.511	urn:cts:greekLit:tlg0012.tlg001.msA:4.182
urn:cite:hmt:venAsign.512	urn:cts:greekLit:tlg0012.tlg001.msA:4.187
urn:cite:hmt:venAsign.513	urn:cts:greekLit:tlg0012.tlg001.msA:4.191
urn:cite:hmt:venAsign.514	urn:cts:greekLit:tlg0012.tlg001.msA:4.195
urn:cite:hmt:venAsign.515	urn:cts:greekLit:tlg0012.tlg001.msA:4.195
urn:cite:hmt:venAsign.516	urn:cts:greekLit:tlg0012.tlg001.msA:4.196
urn:cite:hmt:venAsign.517	urn:cts:greekLit:tlg0012.tlg001.msA:4.197
urn:cite:hmt:venAsign.518	urn:cts:greekLit:tlg0012.tlg001.msA:4.197
urn:cite:hmt:venAsign.519	urn:cts:greekLit:tlg0012.tlg001.msA:4.205
urn:cite:hmt:venAsign.520	urn:cts:greekLit:tlg0012.tlg001.msA:4.206
urn:cite:hmt:venAsign.521	urn:cts:greekLit:tlg0012.tlg001.msA:4.208
urn:cite:hmt:venAsign.522	urn:cts:greekLit:tlg0012.tlg001.msA:4.216
urn:cite:hmt:venAsign.523	urn:cts:greekLit:tlg0012.tlg001.msA:4.226
urn:cite:hmt:venAsign.524	urn:cts:greekLit:tlg0012.tlg001.msA:4.228
urn:cite:hmt:venAsign.525	urn:cts:greekLit:tlg0012.tlg001.msA:4.232
urn:cite:hmt:venAsign.526	urn:cts:greekLit:tlg0012.tlg001.msA:4.243
urn:cite:hmt:venAsign.527	urn:cts:greekLit:tlg0012.tlg001.msA:4.244
urn:cite:hmt:venAsign.528	urn:cts:greekLit:tlg0012.tlg001.msA:4.246
urn:cite:hmt:venAsign.529	urn:cts:greekLit:tlg0012.tlg001.msA:4.251
urn:cite:hmt:venAsign.530	urn:cts:greekLit:tlg0012.tlg001.msA:4.262
urn:cite:hmt:venAsign.531	urn:cts:greekLit:tlg0012.tlg001.msA:4.273
urn:cite:hmt:venAsign.532	urn:cts:greekLit:tlg0012.tlg001.msA:4.277
urn:cite:hmt:venAsign.533	urn:cts:greekLit:tlg0012.tlg001.msA:4.282
urn:cite:hmt:venAsign.534	urn:cts:greekLit:tlg0012.tlg001.msA:4.295
urn:cite:hmt:venAsign.535	urn:cts:greekLit:tlg0012.tlg001.msA:4.302
urn:cite:hmt:venAsign.536	urn:cts:greekLit:tlg0012.tlg001.msA:4.307
urn:cite:hmt:venAsign.537	urn:cts:greekLit:tlg0012.tlg001.msA:4.315
urn:cite:hmt:venAsign.538	urn:cts:greekLit:tlg0012.tlg001.msA:4.320
urn:cite:hmt:venAsign.539	urn:cts:greekLit:tlg0012.tlg001.msA:4.320
urn:cite:hmt:venAsign.540	urn:cts:greekLit:tlg0012.tlg001.msA:4.325
urn:cite:hmt:venAsign.541	urn:cts:greekLit:tlg0012.tlg001.msA:4.331
urn:cite:hmt:venAsign.542	urn:cts:greekLit:tlg0012.tlg001.msA:4.339
urn:cite:hmt:venAsign.543	urn:cts:greekLit:tlg0012.tlg001.msA:4.343
urn:cite:hmt:venAsign.544	urn:cts:greekLit:tlg0012.tlg001.msA:4.345
urn:cite:hmt:venAsign.545	urn:cts:greekLit:tlg0012.tlg001.msA:4.346
urn:cite:hmt:venAsign.546	urn:cts:greekLit:tlg0012.tlg001.msA:4.354
urn:cite:hmt:venAsign.547	urn:cts:greekLit:tlg0012.tlg001.msA:4.357
urn:cite:hmt:venAsign.548	urn:cts:greekLit:tlg0012.tlg001.msA:4.377
urn:cite:hmt:venAsign.549	urn:cts:greekLit:tlg0012.tlg001.msA:4.384
urn:cite:hmt:venAsign.550	urn:cts:greekLit:tlg0012.tlg001.msA:4.390
urn:cite:hmt:venAsign.551	urn:cts:greekLit:tlg0012.tlg001.msA:4.407
urn:cite:hmt:venAsign.552	urn:cts:greekLit:tlg0012.tlg001.msA:4.408
urn:cite:hmt:venAsign.553	urn:cts:greekLit:tlg0012.tlg001.msA:4.409
urn:cite:hmt:venAsign.554	urn:cts:greekLit:tlg0012.tlg001.msA:4.412
urn:cite:hmt:venAsign.555	urn:cts:greekLit:tlg0012.tlg001.msA:4.416
urn:cite:hmt:venAsign.556	urn:cts:greekLit:tlg0012.tlg001.msA:4.429
urn:cite:hmt:venAsign.557	urn:cts:greekLit:tlg0012.tlg001.msA:4.439
urn:cite:hmt:venAsign.558	urn:cts:greekLit:tlg0012.tlg001.msA:4.440
urn:cite:hmt:venAsign.559	urn:cts:greekLit:tlg0012.tlg001.msA:4.448
urn:cite:hmt:venAsign.560	urn:cts:greekLit:tlg0012.tlg001.msA:4.451
urn:cite:hmt:venAsign.561	urn:cts:greekLit:tlg0012.tlg001.msA:4.456
urn:cite:hmt:venAsign.562	urn:cts:greekLit:tlg0012.tlg001.msA:4.457
urn:cite:hmt:venAsign.563	urn:cts:greekLit:tlg0012.tlg001.msA:4.458
urn:cite:hmt:venAsign.564	urn:cts:greekLit:tlg0012.tlg001.msA:4.463
urn:cite:hmt:venAsign.565	urn:cts:greekLit:tlg0012.tlg001.msA:4.478
urn:cite:hmt:venAsign.566	urn:cts:greekLit:tlg0012.tlg001.msA:4.487
urn:cite:hmt:venAsign.567	urn:cts:greekLit:tlg0012.tlg001.msA:4.491
urn:cite:hmt:venAsign.568	urn:cts:greekLit:tlg0012.tlg001.msA:4.500
urn:cite:hmt:venAsign.569	urn:cts:greekLit:tlg0012.tlg001.msA:4.502
urn:cite:hmt:venAsign.570	urn:cts:greekLit:tlg0012.tlg001.msA:4.513
urn:cite:hmt:venAsign.571	urn:cts:greekLit:tlg0012.tlg001.msA:4.521
urn:cite:hmt:venAsign.572	urn:cts:greekLit:tlg0012.tlg001.msA:4.527
urn:cite:hmt:venAsign.573	urn:cts:greekLit:tlg0012.tlg001.msA:4.535
urn:cite:hmt:venAsign.574	urn:cts:greekLit:tlg0012.tlg001.msA:4.539
urn:cite:hmt:venAsign.575	urn:cts:greekLit:tlg0012.tlg001.msA:4.540
urn:cite:hmt:venAsign.576	urn:cts:greekLit:tlg0012.tlg001.msA:5.5
urn:cite:hmt:venAsign.577	urn:cts:greekLit:tlg0012.tlg001.msA:5.6
urn:cite:hmt:venAsign.578	urn:cts:greekLit:tlg0012.tlg001.msA:5.14
urn:cite:hmt:venAsign.579	urn:cts:greekLit:tlg0012.tlg001.msA:5.17
urn:cite:hmt:venAsign.580	urn:cts:greekLit:tlg0012.tlg001.msA:5.21
urn:cite:hmt:venAsign.581	urn:cts:greekLit:tlg0012.tlg001.msA:5.28
urn:cite:hmt:venAsign.582	urn:cts:greekLit:tlg0012.tlg001.msA:5.31
urn:cite:hmt:venAsign.583	urn:cts:greekLit:tlg0012.tlg001.msA:5.37
urn:cite:hmt:venAsign.584	urn:cts:greekLit:tlg0012.tlg001.msA:5.39
urn:cite:hmt:venAsign.585	urn:cts:greekLit:tlg0012.tlg001.msA:5.52
urn:cite:hmt:venAsign.586	urn:cts:greekLit:tlg0012.tlg001.msA:5.53
urn:cite:hmt:venAsign.587	urn:cts:greekLit:tlg0012.tlg001.msA:5.58
urn:cite:hmt:venAsign.588	urn:cts:greekLit:tlg0012.tlg001.msA:5.60
urn:cite:hmt:venAsign.589	urn:cts:greekLit:tlg0012.tlg001.msA:5.64
urn:cite:hmt:venAsign.590	urn:cts:greekLit:tlg0012.tlg001.msA:5.68
urn:cite:hmt:venAsign.591	urn:cts:greekLit:tlg0012.tlg001.msA:5.70
urn:cite:hmt:venAsign.592	urn:cts:greekLit:tlg0012.tlg001.msA:5.79
urn:cite:hmt:venAsign.593	urn:cts:greekLit:tlg0012.tlg001.msA:5.83
urn:cite:hmt:venAsign.594	urn:cts:greekLit:tlg0012.tlg001.msA:5.85
urn:cite:hmt:venAsign.595	urn:cts:greekLit:tlg0012.tlg001.msA:5.99
urn:cite:hmt:venAsign.596	urn:cts:greekLit:tlg0012.tlg001.msA:5.105
urn:cite:hmt:venAsign.597	urn:cts:greekLit:tlg0012.tlg001.msA:5.121
urn:cite:hmt:venAsign.598	urn:cts:greekLit:tlg0012.tlg001.msA:5.122
urn:cite:hmt:venAsign.599	urn:cts:greekLit:tlg0012.tlg001.msA:5.128
urn:cite:hmt:venAsign.600	urn:cts:greekLit:tlg0012.tlg001.msA:5.138
urn:cite:hmt:venAsign.601	urn:cts:greekLit:tlg0012.tlg001.msA:5.140
urn:cite:hmt:venAsign.602	urn:cts:greekLit:tlg0012.tlg001.msA:5.141
urn:cite:hmt:venAsign.603	urn:cts:greekLit:tlg0012.tlg001.msA:5.145
urn:cite:hmt:venAsign.604	urn:cts:greekLit:tlg0012.tlg001.msA:5.146
urn:cite:hmt:venAsign.605	urn:cts:greekLit:tlg0012.tlg001.msA:5.147
urn:cite:hmt:venAsign.606	urn:cts:greekLit:tlg0012.tlg001.msA:5.148
